🕘️更新时间,#genre#
CCTV-8,http://zzssw01.55555.io:9901/tsfile/live/0008_1.m3u8$订阅源
CCTV-8,http://183.215.134.239:19901/tsfile/live/0008_1.m3u8$订阅源
CCTV-8,http://ms.fxim.net:808/hls/8/index.m3u8$订阅源
CCTV-8,http://120.238.94.10:9901/tsfile/live/1026_1.m3u8$订阅源
CCTV-8,http://183.237.95.108:9901/tsfile/live/1020_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-8,http://61.156.228.12:8154/tsfile/live/0008_1.m3u8$订阅源
CCTV-8,http://111.43.126.240:9003/hls/21/index.m3u8$订阅源
CCTV-9,http://php.cqshushu.ggff.net/jzb.php?id=cctv9&公众号【医工学习日志】$订阅源
CCTV-9,http://zzssw01.55555.io:9901/tsfile/live/0009_1.m3u8$订阅源
CCTV-9,http://120.238.94.10:9901/tsfile/live/1027_1.m3u8$订阅源
CCTV-9,http://61.156.228.12:8154/tsfile/live/0009_1.m3u8$订阅源
CCTV-9,http://111.43.126.240:9003/hls/22/index.m3u8$订阅源
CCTV-9,http://58.221.214.82:9901/tsfile/live/0009_1.m3u8$订阅源
CCTV-9,http://124.116.183.146:9901/tsfile/live/0009_1.m3u8?key=tvbox6_com&playlive=1&authid=0$订阅源
CCTV-9,http://58.19.43.46:9901/tsfile/live/1028_1.m3u8$订阅源
CCTV-10,http://php.cqshushu.ggff.net/jzb.php?id=cctv10&公众号【医工学习日志】$订阅源
CCTV-10,http://ms.fxim.net:808/hls/10/index.m3u8$订阅源
CCTV-10,http://42.225.117.174:11199/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-10,http://120.238.94.10:9901/tsfile/live/1028_1.m3u8$订阅源
CCTV-10,http://183.237.95.108:9901/tsfile/live/1022_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-10,http://61.156.228.12:8154/tsfile/live/0010_1.m3u8$订阅源
CCTV-10,http://111.43.126.240:9003/hls/23/index.m3u8$订阅源
CCTV-10,http://223.241.247.214:9901/tsfile/live/0010_1.m3u8$订阅源
CCTV-11,http://php.cqshushu.ggff.net/jzb.php?id=cctv11&公众号【医工学习日志】$订阅源
CCTV-11,http://ms.fxim.net:808/hls/11/index.m3u8$订阅源
CCTV-11,http://120.238.94.10:9901/tsfile/live/1029_1.m3u8$订阅源
CCTV-11,http://183.237.95.108:9901/tsfile/live/1023_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-11,http://223.241.247.214:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-11,http://58.221.214.82:9901/tsfile/live/0011_1.m3u8$订阅源
CCTV-11,http://124.116.183.146:9901/tsfile/live/0011_1.m3u8?key=tvbox6_com&playlive=1&authid=0$订阅源
CCTV-11,http://58.19.43.46:9901/tsfile/live/1030_1.m3u8$订阅源
CCTV-12,http://php.cqshushu.ggff.net/jzb.php?id=cctv12&公众号【医工学习日志】$订阅源
CCTV-12,http://42.225.117.174:11199/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-12,http://120.238.94.10:9901/tsfile/live/1030_1.m3u8$订阅源
CCTV-12,http://61.156.228.12:8154/tsfile/live/0012_1.m3u8$订阅源
CCTV-12,http://183.223.157.123:85/tsfile/live/0012_1.m3u8?key=txiptv$订阅源
CCTV-12,http://58.221.214.82:9901/tsfile/live/0012_1.m3u8$订阅源
CCTV-12,http://58.19.43.46:9901/tsfile/live/1031_1.m3u8$订阅源
CCTV-12,http://qjrhc.jydjd.top:2911/udp/224.1.100.77:11111$订阅源
CCTV-13,http://php.cqshushu.ggff.net/jzb.php?id=cctv13&公众号【医工学习日志】$订阅源
CCTV-13,http://183.215.134.239:19901/tsfile/live/0013_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0$订阅源
CCTV-13,http://61.156.228.12:8154/tsfile/live/0013_1.m3u8$订阅源
CCTV-13,http://223.241.247.214:9901/tsfile/live/0013_1.m3u8$订阅源
CCTV-13,http://8.138.7.223/【公众号：榴芒电视】/cctv13.m3u8$订阅源
CCTV-13,http://58.221.214.82:9901/tsfile/live/0013_1.m3u8$订阅源
CCTV-13,http://124.116.183.146:9901/tsfile/live/0013_1.m3u8$订阅源
CCTV-13,http://58.19.43.46:9901/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-14,http://php.cqshushu.ggff.net/jzb.php?id=cctv14&公众号【医工学习日志】$订阅源
CCTV-14,http://183.237.95.108:9901/tsfile/live/1096_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-14,http://61.156.228.12:8154/tsfile/live/0014_1.m3u8$订阅源
CCTV-14,http://111.43.126.240:9003/hls/27/index.m3u8$订阅源
CCTV-14,http://58.221.214.82:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-14,http://124.116.183.146:9901/tsfile/live/0014_1.m3u8$订阅源
CCTV-14,http://58.19.43.46:9901/tsfile/live/1033_1.m3u8$订阅源
CCTV-14,http://39.164.160.249:9901/tsfile/live/0014_1.m3u8$订阅源
CCTV-15,http://php.cqshushu.ggff.net/jzb.php?id=cctv15&公众号【医工学习日志】$订阅源
CCTV-15,http://61.156.228.12:8154/tsfile/live/0015_1.m3u8$订阅源
CCTV-15,http://111.43.126.240:9003/hls/28/index.m3u8$订阅源
CCTV-15,http://223.241.247.214:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-15,http://112.99.193.34:9901/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-15,http://58.221.214.82:9901/tsfile/live/0015_1.m3u8$订阅源
CCTV-15,http://58.19.43.46:9901/tsfile/live/1034_1.m3u8$订阅源
CCTV-15,http://qjrhc.jydjd.top:2911/udp/224.1.100.41:11111$订阅源
CCTV-16,http://111.43.126.240:9003/hls/29/index.m3u8$订阅源
CCTV-16,http://58.17.48.228:808/hls/25/index.m3u8$订阅源
CCTV-16,http://gmxw.7766.org:808/hls/169/index.m3u8$订阅源
CCTV-16,http://183.11.239.36:808/hls/169/index.m3u8$订阅源
CCTV-16,http://1b6467f415.iok.la:9931/tsfile/live/1094_1.m3u8$订阅源
CCTV-17,http://120.238.94.10:9901/tsfile/live/1048_1.m3u8$订阅源
CCTV-17,http://61.156.228.12:8154/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-17,http://111.43.126.240:9003/hls/30/index.m3u8$订阅源
CCTV-17,http://58.221.214.82:9901/tsfile/live/0003_2.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-17,http://218.13.170.98:9901/tsfile/live/0016_1.m3u8?key=txiptv$订阅源
CCTV-17,http://58.19.43.46:9901/tsfile/live/1047_1.m3u8$订阅源
CCTV-17,http://113.57.111.4:1111/tsfile/live/1014_1.m3u8$订阅源
CCTV-17,http://183.11.239.36:808/hls/35/index.m3u8$订阅源
CETV-1,http://58.17.48.228:808/hls/85/index.m3u8$订阅源
CETV-1,http://1b6467f415.iok.la:9931/tsfile/live/1125_1.m3u8$订阅源
CETV-1,http://ygbh.site/php/bfgd.php?id=135$订阅源
CETV-2,http://58.17.48.228:808/hls/86/index.m3u8$订阅源
CETV-2,http://ygbh.site/php/bfgd.php?id=492$订阅源
CETV-4,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8?contentid=2820180516001$订阅源
CETV-4,http://111.43.126.240:9003/hls/36/index.m3u8$订阅源
CETV-4,http://218.89.240.144:59901/tsfile/live/1012_1.m3u8$订阅源

💰央视付费频道,#genre#
文化精品,http://www.lizhinas.top:1009/rtp/239.252.219.81:5140$订阅源
文化精品,http://58.17.48.228:808/hls/96/index.m3u8$订阅源
文化精品,http://58.221.214.82/rtp/239.49.9.11:6000$江苏电信组播源-cache:58.221.214.82-组播源
文化精品,http://124.116.183.146/rtp/239.111.205.75:5140$陕西电信组播源-cache:124.116.183.146-组播源
央视台球,http://www.lizhinas.top:1009/rtp/239.252.219.80:5140$订阅源
央视台球,http://183.11.239.36:808/hls/73/index.m3u8$订阅源
央视台球,http://dassby.qqff.top:99/live/高尔夫网球/index.m3u8$订阅源
风云音乐,http://www.lizhinas.top:1009/rtp/239.252.219.87:5140$订阅源
风云音乐,http://120.238.94.10:9901/tsfile/live/1089_1.m3u8$订阅源
风云音乐,http://sh.lnott.top:880/dx73.m3u8$订阅源
风云音乐,http://58.17.48.228:808/hls/90/index.m3u8$订阅源
风云音乐,http://dassby.qqff.top:99/live/风云音乐/index.m3u8$订阅源
风云音乐,http://58.221.214.82/rtp/239.49.9.13:6000$江苏电信组播源-cache:58.221.214.82-组播源
风云音乐,http://124.116.183.146/rtp/239.111.205.69:5140$陕西电信组播源-cache:124.116.183.146-组播源
第一剧场,http://www.lizhinas.top:1009/rtp/239.252.219.86:5140$订阅源
第一剧场,http://58.17.48.228:808/hls/89/index.m3u8$订阅源
第一剧场,http://58.221.214.82/rtp/239.49.1.226:6000$江苏电信组播源-cache:58.221.214.82-组播源
第一剧场,http://124.116.183.146/rtp/239.111.205.65:5140$陕西电信组播源-cache:124.116.183.146-组播源
第一剧场,http://113.57.93.165/rtp/228.0.0.235:6108$湖北联通组播源-cache:113.57.93.165-组播源
第一剧场,http://113.57.111.4/rtp/228.0.0.235:6108$湖北联通组播源-cache:113.57.111.4-组播源
风云剧场,http://www.lizhinas.top:1009/rtp/239.252.219.89:5140$订阅源
风云剧场,http://120.238.94.10:9901/tsfile/live/1090_1.m3u8$订阅源
风云剧场,http://sh.lnott.top:880/dx94.m3u8$订阅源
风云剧场,http://58.17.48.228:808/hls/91/index.m3u8$订阅源
风云剧场,http://dassby.qqff.top:99/live/风云剧场/index.m3u8$订阅源
风云剧场,http://58.221.214.82/rtp/239.49.9.10:6000$江苏电信组播源-cache:58.221.214.82-组播源
风云剧场,http://124.116.183.146/rtp/239.111.205.66:5140$陕西电信组播源-cache:124.116.183.146-组播源
怀旧剧场,http://www.lizhinas.top:1009/rtp/239.252.219.90:5140$订阅源
怀旧剧场,http://sh.lnott.top:880/dx95.m3u8$订阅源
怀旧剧场,http://58.17.48.228:808/hls/92/index.m3u8$订阅源
怀旧剧场,http://dassby.qqff.top:99/live/怀旧剧场/index.m3u8$订阅源
怀旧剧场,http://58.221.214.82/rtp/239.49.9.12:6000$江苏电信组播源-cache:58.221.214.82-组播源
怀旧剧场,http://124.116.183.146/rtp/239.111.205.67:5140$陕西电信组播源-cache:124.116.183.146-组播源
怀旧剧场,http://113.57.93.165/rtp/228.0.0.237:6108$湖北联通组播源-cache:113.57.93.165-组播源
怀旧剧场,http://113.57.111.4/rtp/228.0.0.237:6108$湖北联通组播源-cache:113.57.111.4-组播源
女性时尚,http://www.lizhinas.top:1009/rtp/239.252.219.94:5140$订阅源
女性时尚,http://58.17.48.228:808/hls/95/index.m3u8$订阅源
女性时尚,http://dassby.qqff.top:99/live/女性时尚/index.m3u8$订阅源
女性时尚,http://58.221.214.82/rtp/239.49.9.14:6000$江苏电信组播源-cache:58.221.214.82-组播源
女性时尚,http://124.116.183.146/rtp/239.111.205.72:5140$陕西电信组播源-cache:124.116.183.146-组播源
高尔夫网球,http://www.lizhinas.top:1009/rtp/239.252.219.95:5140$订阅源
高尔夫网球,http://58.17.48.228:808/hls/97/index.m3u8$订阅源
高尔夫网球,http://124.116.183.146/rtp/239.111.205.73:5140$陕西电信组播源-cache:124.116.183.146-组播源
风云足球,http://www.lizhinas.top:1009/rtp/239.252.219.96:5140$订阅源
风云足球,http://183.11.239.36:808/hls/133/index.m3u8$订阅源
风云足球,http://dassby.qqff.top:99/live/风云足球/index.m3u8$订阅源
风云足球,http://58.221.214.82/rtp/239.49.1.61:6000$江苏电信组播源-cache:58.221.214.82-组播源
风云足球,http://124.116.183.146/rtp/239.111.205.68:5140$陕西电信组播源-cache:124.116.183.146-组播源
风云足球,http://113.57.93.165/rtp/228.0.0.236:6108$湖北联通组播源-cache:113.57.93.165-组播源
风云足球,http://113.57.111.4/rtp/228.0.0.236:6108$湖北联通组播源-cache:113.57.111.4-组播源
电视指南,http://ygbh.site/php/bfgd.php?id=164$订阅源
电视指南,http://58.221.214.82/rtp/239.49.1.60:6000$江苏电信组播源-cache:58.221.214.82-组播源
世界地理,http://www.lizhinas.top:1009/rtp/239.252.219.93:5140$订阅源
世界地理,http://183.11.239.36:808/hls/11/index.m3u8$订阅源
世界地理,http://dassby.qqff.top:99/live/世界地理/index.m3u8$订阅源
世界地理,http://58.221.214.82/rtp/239.49.1.63:6000$江苏电信组播源-cache:58.221.214.82-组播源
世界地理,http://124.116.183.146/rtp/239.111.205.71:5140$陕西电信组播源-cache:124.116.183.146-组播源
兵器科技,http://www.lizhinas.top:1009/rtp/239.252.219.98:5140$订阅源
兵器科技,http://120.238.94.10:9901/tsfile/live/1096_1.m3u8$订阅源
兵器科技,http://sh.lnott.top:880/dx81.m3u8$订阅源
兵器科技,http://58.17.48.228:808/hls/99/index.m3u8$订阅源
兵器科技,http://58.221.214.82/rtp/239.49.1.64:6000$江苏电信组播源-cache:58.221.214.82-组播源
兵器科技,http://124.116.183.146/rtp/239.111.205.74:5140$陕西电信组播源-cache:124.116.183.146-组播源

📡卫视频道,#genre#
广东卫视,https://txmov2.a.kwimgs.com/upic/2023/01/26/09/BMjAyMzAxMjYwOTE3NDVfNzM5MzQzNzIyXzk0NjI1OTUwNTA3XzBfMw==_b_B81ddda927d33445d544befd008e60109.mp4$订阅源
广东卫视,http://satellitepull.cnr.cn/live/wxgdws/playlist.m3u8$订阅源
广东卫视,http://120.238.94.10:9901/tsfile/live/1008_1.m3u8$订阅源
广东卫视,http://120.238.94.82:9901/tsfile/live/1009_1.m3u8$订阅源
广东卫视,http://183.237.95.108:9901/tsfile/live/1029_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
广东卫视,http://61.156.228.12:8154/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
广东卫视,http://112.99.193.34:9901/tsfile/live/1043_1.m3u8?#rtsp://60.13.23.179/PLTV/88888910/224/3221225551/10000100000000060000000000107331_0.smil$订阅源
广东卫视,http://120.198.101.106:9901/tsfile/live/1009_1.m3u8?key=txiptv$订阅源
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8#mitv://generationnexxxt.com:19806/7bf4b3a65eaf421ab6d71bd8dcc4547a$订阅源
浙江卫视,http://61.156.228.12:8154/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
浙江卫视,http://223.241.247.214:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
浙江卫视,http://221.226.51.220:50081/newlive/live/hls/27/live.m3u8$订阅源
浙江卫视,http://58.221.214.82:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
浙江卫视,http://124.116.183.146:9901/tsfile/live/0124_1.m3u8?key=txiptv#rtsp://116.176.26.19/PLTV/88888910/224/3221225535/10000100000000060000000000107315_0.smil$订阅源
浙江卫视,http://58.19.43.46:9901/tsfile/live/1037_1.m3u8$订阅源
浙江卫视,http://qjrhc.jydjd.top:2911/udp/224.1.100.51:11111$订阅源
湖南卫视,https://txmov2.a.kwimgs.com/bs3/video-hls/5199687338554291078_hlsb.m3u8$订阅源
湖南卫视,https://60.191.56.186:8888/hls/31/index.m3u8$订阅源
湖南卫视,http://183.215.134.239:19901/tsfile/live/0128_1.m3u8?key=txiptv&amp;amp;playlive=1&amp;amp;authid=0$订阅源
湖南卫视,http://125.42.151.98:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
湖南卫视,http://www.yao87.com:4022/udp/239.76.246.101:1234$订阅源
湖南卫视,http://111.43.126.240:9003/hls/37/index.m3u8$订阅源
湖南卫视,http://223.241.247.214:9901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
湖南卫视,http://221.226.51.220:50081/newlive/live/hls/29/live.m3u8$订阅源
北京卫视,http://satellitepull.cnr.cn/live/wxbtv/playlist.m3u8$订阅源
北京卫视,https://live-hls-web-ajb.getaj.net/AJB/01.m3u8$订阅源
北京卫视,http://36.32.174.67:60080/newlive/live/hls/25/live.m3u8$订阅源
北京卫视,http://42.225.117.174:11199/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
北京卫视,http://61.156.228.12:8154/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
北京卫视,http://58.221.214.82:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
北京卫视,http://39.164.160.249:9901/tsfile/live/0122_1.m3u8$订阅源
北京卫视,http://ak6668768.zicp.io:8830/live1032.m3u8$订阅源
重庆卫视,http://satellitepull.cnr.cn/live/wxcqws/playlist.m3u8$订阅源
重庆卫视,http://zzssw01.55555.io:9901/tsfile/live/0142_1.m3u8$订阅源
重庆卫视,http://61.156.228.12:8154/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
重庆卫视,http://183.131.246.250:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
重庆卫视,http://111.43.126.240:9003/hls/55/index.m3u8$订阅源
重庆卫视,http://223.241.247.214:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
重庆卫视,http://221.226.51.220:50081/newlive/live/hls/28/live.m3u8$订阅源
重庆卫视,http://111.61.236.247:9081/hls/41/index.m3u8$订阅源
东方卫视,https://txmov2.a.kwimgs.com/bs3/video-hls/5219953535631090825_hlsb.m3u8$订阅源
东方卫视,http://183.215.134.239:19901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
东方卫视,http://36.32.174.67:60080/newlive/live/hls/24/live.m3u8$订阅源
东方卫视,http://61.156.228.12:8154/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
东方卫视,http://223.241.247.214:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
东方卫视,http://58.221.214.82:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
东方卫视,http://218.13.170.98:9901/tsfile/live/1010_1.m3u8$订阅源
东方卫视,http://111.61.236.247:9081/hls/40/index.m3u8$订阅源
东南卫视,http://satellitepull.cnr.cn/live/wx32fjws/playlist.m3u8$订阅源
东南卫视,http://183.131.246.250:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
东南卫视,http://111.43.126.240:9003/hls/47/index.m3u8$订阅源
东南卫视,http://8.138.7.223/tv/fjtv1.php?id=dnws$订阅源
东南卫视,http://58.221.214.82:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
东南卫视,http://111.61.236.247:9081/hls/42/index.m3u8$订阅源
东南卫视,http://58.19.43.46:9901/tsfile/live/1046_1.m3u8$订阅源
东南卫视,http://113.57.93.165:9900/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
江苏卫视,https://txmov2.a.kwimgs.com/upic/2023/02/07/12/BMjAyMzAyMDcxMjQ3NDlfNzM5MzQzNzIyXzk1NjcxMTk5ODM5XzBfMw==_b_Bb92095c7df3c98b458dd14abf1d4b575.mp4$订阅源
江苏卫视,http://42.225.117.174:11199/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
江苏卫视,http://61.156.228.12:8154/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
江苏卫视,http://221.226.51.220:50081/newlive/live/hls/18/live.m3u8$订阅源
江苏卫视,http://58.221.214.82:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
江苏卫视,http://218.13.170.98:9901/tsfile/live/1003_1.m3u8$订阅源
江苏卫视,http://111.61.236.247:9081/hls/26/index.m3u8$订阅源
江苏卫视,http://124.116.183.146:9901/tsfile/live/0127_1.m3u8?=TG@YYDSyouzai=key=txiptv&playlive=1&authid=0=TG@YYDSyouzai$订阅源

☘️浙江频道,#genre#
浙江生活,https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8\r\n$订阅源
浙江少儿,http://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8?fbl=$订阅源
杭州综合,http://live.xmcdn.com/live/1845/64.m3u8$订阅源
杭州明珠,http://120.198.101.106:9901/tsfile/live/1008_1.m3u8?key=txiptv$订阅源
松阳综合,http://l.cztvcloud.com/channels/lantian/SXsongyang1/720p.m3u8?%E5%85%B3%E6%B3%A8%E5%BE%AE%E4%BF%A1%E5%85%AC%E4%BC%97%E5%8F%B7[%E6%99%B4%E5%9B%AD]$订阅源

🌊港·澳·台,#genre#
翡翠台,https://cdn.iptv8k.top/dl/jrys.php?id=3&time=20240926215313&ip=111.229.253.40『线路08』$订阅源
翡翠台,http://tvdrs.wsrtv.com.cn:8100/channellive/ch1.flv$订阅源
翡翠台,http://120.198.101.106:9901/tsfile/live/1007_1.m3u8?key=txiptv$订阅源
翡翠台,http://120.198.95.220:9901/tsfile/live/1004_1.m3u8?key=txiptv$订阅源
翡翠台,http://qjrhc.jydjd.top:2911/udp/224.1.100.122:11111$订阅源
明珠台,http://120.198.101.106:9901/tsfile/live/1008_1.m3u8?key=txiptv$订阅源
